Date,Brand,Mileage,Cost,Grade,Amount,TotalCost
1/3/2014,76,43159,3.499,87,4.985,17.44
1/13/2014,Arco,43415,3.29,87,9.205,30.28
1/18/2014,Shell,43655,3.499,87,9.521,33.31
1/22/2014,Costco,43938,3.179,87,9.28,29.5
1/28/2014,76,44201,3.499,87,9.263,32.41
2/15/2014,76,44434,3.499,87,9.434,33.01
3/5/2014,Shell,44664,3.699,87,9.801,36.25
3/16/2014,76,44917,3.519,87,9.014,31.72
3/21/2014,7-11 (Citgo),45179,3.699,87,9.014,33.34
3/26/2014,Arco,45471,3.639,87,9.656,35.14
3/31/2014,Arco,45770,3.679,87,9.463,34.81
4/12/2014,76,45995,3.959,87,8.88,35.16
4/27/2014,76,46208,4.099,87,8.671,35.54
5/17/2014,76,46475,3.999,87,9.101,36.39
5/25/2014,Safeway,46735,3.819,87,9.037,34.51
5/31/2014,Shell,47035,4.05,87,9.326,37.77
6/15/2014,76,47270,4.059,87,8.292,33.66
7/4/2014,Safeway,47531,3.959,87,9.12,36.11
7/6/2014,Safeway,47843,4.119,87,8.796,36.23
7/18/2014,Shell,48130,3.939,87,8.967,35.32
7/19/2014,Chevron,48449,3.999,87,9.166,36.65
7/27/2014,Shell,48743,4.099,87,8.572,35.14
8/3/2014,Chevron,49002,3.959,87,9.026,35.55
8/10/2014,76,49249,3.949,87,9,35.54
8/20/14,Chevron,49499,3.959,87,8.075,31.97
8/31/14,Safeway,49805,3.919,87,9.306,35.54
9/5/14,Valero,50145,3.959,87,9.476,37.52
9/20/14,76,50423,3.879,87,9.373,51159
9/27/14,Shell,50640,3.799,87,7.211,27.39
10/11/14,Chevron,51235,3.599,87,6.035,21.72
10/15/14,Safeway,51498,3.199,87,9.74,31.16
10/23/14,Shell,51755,3.699,87,8.926,33.02
11/9/14,76,51976,3.699,87,8.775,32.46
11/23/14,Safeway,52195,2.829,87,8.773,24.82
12/1/14,Safeway,52424,2.699,87,8.43,22.76
12/21/14,Safeway,52687,2.599,87,9.284,24.13
12/31/14,76,52917,2.899,87,9.59,27.8
